country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
孟加拉国,33817.102999999996,35350.71,36901.153,38452.976,40001.295,41547.154,43106.528,44698.643,46347.08900000001,48058.704000000005,49821.255999999994,51624.21400000001,53455.788,55305.132000000005,57168.03,59046.818,60944.245,62865.82,64814.953
中国大陆,499010.479,519610.28,540635.912,561983.323,583095.08,604219.506,625674.5279999999,647369.562,669353.557,690723.821,711866.793,733059.4859999999,754262.825,775352.918,796289.4909999999,816957.613,837022.095,856409.297,875075.9190000001
印度,307805.144,316585.269,325483.057,334479.406,343589.81700000004,352799.37899999996,362088.13899999997,371405.723,380744.554,390082.225,399552.347,409174.674,419001.67299999995,429069.459,439391.69899999996,449963.381,460779.76399999997,471828.295,483098.64
印度尼西亚,94763.87199999999,97826.125,100959.67,104155.65400000001,107420.81300000001,110751.705,114147.71,117596.63900000001,121052.98,124314.82400000001,127617.869,130944.421,134287.88199999998,137634.761,140972.925,144294.861,147603.006,150900.39,154188.546
以色列,5698.352,5803.031999999999,5916.1269999999995,6042.911,6186.4130000000005,6344.035,6508.4890000000005,6669.224,6818.960999999999,6955.079000000001,7080.096,7197.813,7314.254,7433.814,7557.486999999999,7683.807,7811.919,7940.232,8067.603
泰国,21614.402000000002,22555.867000000002,23510.333,24476.532000000003,25455.995,26444.821,27444.724,28453.447999999997,29475.113999999998,30184.47,30831.807999999997,31477.014,32116.66,32745.68,33362.84,33966.456,34556.078,35132.892,35698.325
英国,46913.46,47270.529,47685.215,48178.255,48762.965,49425.855,50130.678,50824.513,51469.697,52051.535,52580.733,53071.765999999996,53550.346,54035.310999999994,54529.375,55025.420999999995,55521.225999999995,56012.276,56495.18
德国,61514.31,61736.369000000006,61923.578,62053.609000000004,62116.895,62129.072,62126.272000000004,62158.252,62261.612,62448.65900000001,62558.823,62720.439000000006,62901.872,63078.413,63257.47900000001,63442.124,63622.346,63787.507000000005,63930.305
法国,46000.154,46400.907,46811.2,47229.925,47658.471,48094.669,48534.862,48969.824,49393.297999999995,49802.210999999996,50197.777,50583.16,50963.66099999999,51343.240999999995,51722.652,52100.53599999999,52476.365,52849.078,53217.96599999999
俄罗斯,106487.665,106085.759,105754.475,105505.95800000001,105353.498,105290.775,105305.80900000001,105376.897,105485.979,105631.186,105830.998,106065.739,106311.454,106549.491,106770.27900000001,106972.62599999999,107156.855,107327.101,107486.269
乌克兰,32281.904,32082.244,31916.365,31788.197,31684.616,31610.974,31556.952999999998,31506.9,31411.662999999997,31305.902000000002,31192.313,31073.589,30955.238999999998,30840.974,30730.872000000003,30622.539,30521.47,30425.95,30334.632
加拿大,25021.734,25291.658,25573.785,25869.853,26185.971,26546.749,26916.746,27288.078999999998,27655.231,28009.384,28317.316000000003,28619.561,28917.577999999998,29212.401,29503.542,29793.946,30084.496,30376.281000000003,30670.064
美国,228306.012,230813.194,233319.40399999998,235892.407,238558.00100000002,241285.68399999998,244029.055,246715.30800000002,249297.076,251775.947,254174.664,256527.51,258885.74300000002,261287.81100000002,263743.312,266243.516,268786.714,271365.914,273975.13899999997
阿根廷,33914.629,34358.182,34801.668,35243.134,35682.044,36119.46,36558.068,37001.229,37451.589,37903.388999999996,38358.76,38817.436,39275.143,39728.358,40175.981,40618.237,41055.867,41489.566,41919.857
巴西,147507.76,150005.145,152448.284,154831.64,157151.283,159407.919,161617.285,163798.43099999998,165969.018,168150.255,170322.11800000002,172471.366,174585.878,176653.7,178669.587,180633.872,182546.45899999997,184407.548,186217.07
墨西哥,78647.444,79950.936,81313.48,82773.323,84348.11,86024.31800000001,87771.37800000001,89539.20199999999,91292.115,93021.90699999999,94735.78,96434.989,98125.896,99812.701,101492.23199999999,103158.75099999999,104811.498,106450.227,108074.41
澳大利亚,16402.363999999998,16612.936,16848.992,17118.433999999997,17425.913,17767.362,18128.926,18491.814,18842.292,19175.331000000002,19490.21,19794.324,20094.765,20396.531000000003,20700.043,21003.923,21307.04,21607.414,21903.705
新西兰,3414.722,3467.861,3520.639,3570.49,3616.625,3654.914,3691.3559999999998,3727.728,3765.257,3804.22,3849.437,3895.048,3940.184,3984.212,4026.967,4068.9240000000004,4110.19,4150.968,4191.405
