country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
孟加拉国,1462.8,1460.2,1457.6,1455.0,1452.4,1449.8,1447.2,1444.6,1442.0,1439.4,1436.8,1434.2,1431.6,1429.0,1426.4,1423.8,0.0,0.0,0.0
中国大陆,183417.86,186626.54,189835.22,193043.9,194557.18,196070.46,197583.74,199097.02,200610.3,202152.5,203694.7,205236.9,206779.1,208321.3,209863.5,211405.7,0.0,0.0,0.0
印度,66317.6,66781.4,67245.2,67709.0,68125.2,68541.4,68957.6,69373.8,69790.0,69968.4,70146.8,70325.2,70503.6,70682.0,70860.4,71038.8,0.0,0.0,0.0
印度尼西亚,98788.2,98477.8,98167.4,97857.0,97172.0,96487.0,95802.0,95117.0,94432.0,93747.6,93063.2,92378.8,91694.4,91010.0,90325.6,89641.2,0.0,0.0,0.0
以色列,153.8,154.2,154.6,155.0,154.8,154.6,154.4,154.2,154.0,156.2,158.4,160.6,162.8,165.0,167.2,169.4,0.0,0.0,0.0
泰国,16646.6,16464.4,16282.2,16100.0,16129.8,16159.6,16189.4,16219.2,16249.0,16279.0,16309.0,16339.0,16369.0,16399.0,16429.0,16459.0,0.0,0.0,0.0
英国,2980.8,2994.2,3007.6,3021.0,3028.6,3036.2,3043.8,3051.4,3059.0,3076.0,3093.0,3110.0,3127.0,3144.0,3161.0,3178.0,0.0,0.0,0.0
德国,11366.0,11372.0,11378.0,11384.0,11389.0,11394.0,11399.0,11404.0,11409.0,11411.0,11413.0,11415.0,11417.0,11419.0,11421.0,11423.0,0.0,0.0,0.0
法国,15517.8,15632.2,15746.6,15861.0,15973.6,16086.2,16198.8,16311.4,16424.0,16537.0,16650.0,16763.0,16876.0,16989.0,17102.0,17215.0,0.0,0.0,0.0
俄罗斯,809077.1,808981.4,808885.7,808790.0,810059.12,811328.24,812597.36,813866.48,815135.6,815094.58,815053.56,815012.54,814971.52,814930.5,814889.48,814848.46,0.0,0.0,0.0
乌克兰,9536.0,9549.0,9562.0,9575.0,9569.6,9564.2,9558.8,9553.4,9548.0,9569.8,9591.6,9613.4,9635.2,9657.0,9678.8,9700.6,0.0,0.0,0.0
加拿大,347711.6,347666.4,347621.2,347576.0,347521.2,347466.4,347411.6,347356.8,347302.0,347255.4,347208.8,347162.2,347115.6,347069.0,347022.4,346975.8,0.0,0.0,0.0
美国,304024.4,304268.6,304512.8,304757.0,305549.6,306342.2,307134.8,307927.4,308720.0,308995.0,309270.0,309545.0,309820.0,310095.0,310370.0,310645.0,0.0,0.0,0.0
阿根廷,31190.4,30855.6,30520.8,30186.0,29868.0,29550.0,29232.0,28914.0,28596.0,28299.2,28002.4,27705.6,27408.8,27112.0,26815.2,26518.4,0.0,0.0,0.0
巴西,515458.0,512550.0,509642.0,506734.0,505078.8,503423.6,501768.4,500113.2,498458.0,497474.0,496490.0,495506.0,494522.0,493538.0,492554.0,491570.0,0.0,0.0,0.0
墨西哥,67546.8,67392.2,67237.6,67083.0,66966.0,66849.0,66732.0,66615.0,66498.0,66406.4,66314.8,66223.2,66131.6,66040.0,65948.4,65856.8,0.0,0.0,0.0
澳大利亚,128361.0,128121.0,127881.0,127641.0,126755.0,125869.0,124983.0,124097.0,123211.0,123519.0,123827.0,124135.0,124443.0,124751.0,125059.0,125367.0,0.0,0.0,0.0
新西兰,10156.6,10165.4,10174.2,10183.0,10176.6,10170.2,10163.8,10157.4,10151.0,10151.2,10151.4,10151.6,10151.8,10152.0,10152.2,10152.4,0.0,0.0,0.0
